bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
3766,66256,seaside,OR,c0pvsh,c0pvshg,c0pvshg,45.99378,-123.9211,45.9933333,-123.9213889,2001-08-03,2013-10-05,4446,2001,2013,54.0,7.51,139.0
3766,66454,seaside,OR,c0pvsh,c0pvshg,c0pvshg,45.99378,-123.9211,45.9933333,-123.9213889,2001-08-03,2013-10-14,4455,2001,2013,54.0,7.49,140.0
3585,68941,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2014-02-13,4579,2001,2014,2.0,7.38,141.0
27089,8488,sullivan (near),MO,9yz1me,9yz1mee,9yz1mee,38.2081,-91.16042,38.2080556,-91.1602778,2009-10-15,1997-03-03,4609,2009,1997,13.0,7.32,142.0
3585,69560,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2014-03-27,4621,2001,2014,2.0,7.32,142.0
3766,68949,seaside,OR,c0pvsh,c0pvshg,c0pvshg,45.99378,-123.9211,45.9933333,-123.9213889,2001-08-03,2014-02-14,4578,2001,2014,54.0,7.31,143.0
528,1638,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1970-06-09,4756,1957,1970,0.0,7.13,144.0
3585,4987,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,1988-07-10,4770,2001,1988,2.0,7.11,145.0
1637,40434,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2008-07-12,4807,1995,2008,0.0,7.06,146.0
27089,7956,sullivan,MO,9yz1me,9yz1mee,9yz1mee,38.2081,-91.16042,38.2080556,-91.1602778,2009-10-15,1996-05-26,4890,2009,1996,13.0,6.93,147.0
51044,18244,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2001-11-20,4984,2015,2001,24.0,6.79,148.0
1637,43251,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2009-03-04,5042,1995,2009,0.0,6.75,149.0
10776,54586,pilot mountain,NC,dnqybz,dnqybzk,dnqybzg,36.38287,-80.46865,36.3863889,-80.4697222,1999-01-16,2011-12-08,4709,1999,2011,403.0,6.66,150.0
4094,42559,benton,AR,9ynhth,9ynhthk,9ynhthk,34.56444,-92.58667,34.5644444,-92.5866667,1994-10-15,2009-01-03,5194,1994,2009,1.0,6.56,151.0
12587,20166,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2002-08-27,5139,1988,2002,66.0,6.55,152.0
1637,45293,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2009-09-07,5229,1995,2009,0.0,6.52,153.0
502,57459,foresthill,CA,9qfjfx,9qfjfx0,9qfjfxr,39.01917,-120.8275,39.0202778,-120.8169444,2000-06-17,2012-06-21,4387,2000,2012,920.0,6.49,154.0
51044,15337,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2000-10-26,5374,2015,2000,24.0,6.33,155.0
4094,46453,benton,AR,9ynhth,9ynhthk,9ynhthk,34.56444,-92.58667,34.5644444,-92.5866667,1994-10-15,2010-01-01,5557,1994,2010,1.0,6.16,156.0
12587,23506,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2003-10-17,5555,1988,2003,66.0,6.09,157.0
12587,23792,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2003-11-08,5577,1988,2003,66.0,6.06,158.0
4094,47698,benton,AR,9ynhth,9ynhthk,9ynhthk,34.56444,-92.58667,34.5644444,-92.5866667,1994-10-15,2010-06-22,5729,1994,2010,1.0,5.99,159.0
1637,50674,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2011-02-15,5755,1995,2011,0.0,5.96,160.0
919,3657,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,1996-04-10,1980-06-30,5763,1996,1980,3.0,5.95,161.0
25592,15082,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2000-09-21,5234,1986,2000,559.0,5.86,162.0
919,57015,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,1996-04-10,2012-05-26,5890,1996,2012,3.0,5.83,163.0
51044,11609,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1999-05-20,5899,2015,1999,24.0,5.8,164.0
815,25926,lexington,MI,dptq1u,dptq1uw,dptq1uw,43.26806,-82.53083,43.2680556,-82.5308333,1987-08-15,2004-06-26,6160,1987,2004,1.0,5.59,165.0
815,26279,lexington,MI,dptq1u,dptq1uw,dptq1uw,43.26806,-82.53083,43.2680556,-82.5308333,1987-08-15,2004-07-28,6192,1987,2004,1.0,5.57,166.0
1637,57329,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2012-06-15,6241,1995,2012,0.0,5.53,167.0
51044,9946,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1998-06-04,6249,2015,1998,24.0,5.49,168.0
12587,29989,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2005-09-04,6243,1988,2005,66.0,5.45,169.0
1637,59944,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2012-10-05,6353,1995,2012,0.0,5.43,170.0
1637,60113,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2012-10-13,6361,1995,2012,0.0,5.43,170.0
12587,31350,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2006-01-02,6363,1988,2006,66.0,5.35,171.0
65943,21313,sequoia national park,CA,9qe812,9qe8120,9qe8122,36.56304,-118.7729,36.5641667,-118.7727778,2020-08-15,2003-01-18,6419,2020,2003,126.0,5.25,172.0
1637,64263,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2013-07-06,6627,1995,2013,0.0,5.22,173.0
1637,64698,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2013-07-29,6650,1995,2013,0.0,5.2,174.0
7804,4612,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,1986-07-01,6396,2004,1986,236.0,5.16,175.0
65943,19781,sequoia national park,CA,9qe812,9qe8120,9qe8122,36.56304,-118.7729,36.5641667,-118.7727778,2020-08-15,2002-07-23,6598,2020,2002,126.0,5.11,176.0
