bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
528,27041,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2004-10-01,17289,1957,2004,0.0,2.07,231.0
51044,1418,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1968-08-01,17148,2015,1968,24.0,2.07,231.0
528,26916,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2004-09-17,17275,1957,2004,0.0,2.07,231.0
528,32077,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2006-04-18,17853,1957,2006,0.0,2.0,232.0
528,34724,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2007-01-20,18130,1957,2007,0.0,1.97,233.0
51044,849,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1965-07-04,18272,2015,1965,24.0,1.95,234.0
528,46852,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2010-03-06,19271,1957,2010,0.0,1.86,235.0
528,46941,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2010-03-18,19283,1957,2010,0.0,1.86,235.0
528,49620,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2010-10-23,19502,1957,2010,0.0,1.84,236.0
528,54562,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2011-12-06,19911,1957,2011,0.0,1.8,237.0
