uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
53703,2011-10-10 10:30:00,ashville,NY,ny,us,circle,60.0,1 minute,Amber object in night sky during full moon&#44 or the day before full moon,10/19/2011,42.0963889,-79.3758333,2011-10-10 10:00:00,2011-10-10,10,48.0,69.1,Partly cloudy,Cloudy
,2011-10-10 14:00:00,epsom (surrey) (uk/england),,,gb,oval,300.0,5 mins,Flying beer barrel shaped metallic object,12/12/2011,51.316667,-0.266667,2011-10-10 14:00:00,2011-10-10,14,70.0,64.8,Cloudy,Cloudy
53704,2011-10-10 14:30:00,north kingstown,RI,ri,us,oval,40.0,40 sec,Bright oval object in sky,10/25/2011,41.5500000,-71.4666667,2011-10-10 14:00:00,2011-10-10,14,3.0,76.4,Sunny,Clear
53705,2011-10-10 15:00:00,groton,CT,ct,us,disk,5.0,less than 5 seconds,Small shiny object seen in sky while driving on clear day&#44 looked back for a 3rd time and it was gone.,10/10/2011,41.3500000,-72.0788889,2011-10-10 15:00:00,2011-10-10,15,0.0,76.5,Sunny,Clear
,2011-10-10 18:15:00,peabody-saugus,,ma,,flash,2700.0,45 minutes,Flashing light in the sky as airplanes flew by.,10/19/2011,42.468164,-71.014118,2011-10-10 18:00:00,2011-10-10,18,4.0,68.3,Sunny,Clear
53706,2011-10-10 19:00:00,mechanicsville,VA,va,us,light,300.0,5 minutes,Three orange lights flying in unison,10/19/2011,37.6086111,-77.3736111,2011-10-10 19:00:00,2011-10-10,19,56.0,65.1,Partly cloudy,Cloudy
,2011-10-10 19:30:00,murfeesboro/smyrna,,tn,,,2700.0,30-45 minutes,Multi color oblect over Smyrna/Murfreesboro 10/10/11,10/19/2011,35.947474,-86.488367,2011-10-10 20:00:00,2011-10-10,20,33.0,66.4,Partly cloudy,Cloudy
,2011-10-10 20:00:00,hamilton (canada),,on,ca,flash,4.0,2-4 seconds,Strange flash in the sky,10/19/2011,43.25,-79.833333,2011-10-10 20:00:00,2011-10-10,20,14.0,64.7,Clear,Clear
53707,2011-10-10 20:00:00,middletown,CT,ct,us,fireball,1200.0,15-20 minutes,Fireball Spinning Orange UFO,10/19/2011,41.5622222,-72.6511111,2011-10-10 20:00:00,2011-10-10,20,7.0,65.7,Clear,Clear
53708,2011-10-10 21:00:00,lakewood,OH,oh,us,fireball,60.0,1 minute,Orange light flies overhead and turns black as it passed silently.,12/12/2011,41.4819444,-81.7983333,2011-10-10 21:00:00,2011-10-10,21,0.0,60.4,Clear,Clear
53709,2011-10-10 21:00:00,york,PA,pa,us,circle,15.0,15 seconds,BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY&#44 MAKING NO SOUND&#44 THEN DISAPPEARS,10/19/2011,39.9625000,-76.7280556,2011-10-10 21:00:00,2011-10-10,21,61.0,62.8,Cloudy,Cloudy
53710,2011-10-10 21:55:00,north platte,NE,ne,us,circle,3.0,3 seconds,Object over North Platte Nebraska,12/12/2011,41.1238889,-100.765,2011-10-10 22:00:00,2011-10-10,22,4.0,53.5,Clear,Clear
53711,2011-10-10 23:00:00,waynesville,OH,oh,us,triangle,90.0,1:30,Flying triangle by Waynesville&#44 Ohio,10/19/2011,39.5297222,-84.0866667,2011-10-10 23:00:00,2011-10-10,23,0.0,58.9,Clear,Clear
60026,2012-10-10 10:15:00,bridgeport,CT,ct,us,circle,630.0,10:30,A Bright light that is a UFO,10/30/2012,41.1669444,-73.2052778,2012-10-10 10:00:00,2012-10-10,10,92.0,59.1,Patchy rain possible,Rain
,2012-10-10 15:00:00,san francisco airport,,ca,,triangle,300.0,5 minutes,San Francisco International Airport         afternoon      about  5minutes       super clear conditions,9/30/2013,37.615223,-122.389979,2012-10-10 15:00:00,2012-10-10,15,6.0,61.3,Sunny,Clear
60027,2012-10-10 18:56:00,san diego,CA,ca,us,sphere,240.0,4 minutes,Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD)),10/30/2012,32.7152778,-117.1563889,2012-10-10 19:00:00,2012-10-10,19,37.0,61.5,Partly cloudy,Cloudy
60028,2012-10-10 19:09:00,sterling heights,MI,mi,us,oval,120.0,1-2 minutes,A black unknown craft is seen in the sky over Sterling Hts. Michigan,10/30/2012,42.5802778,-83.0302778,2012-10-10 19:00:00,2012-10-10,19,7.0,38.9,Clear,Clear
60029,2012-10-10 19:40:00,syracuse,NY,ny,us,light,900.0,15 minutes,Went to move my car to the other side of the road in the city of syracuse.  saw low flying lights moving east towards dowtown.,10/30/2012,43.0480556,-76.1477778,2012-10-10 20:00:00,2012-10-10,20,16.0,44.6,Clear,Clear
60030,2012-10-10 19:45:00,syracuse,NY,ny,us,circle,240.0,4 minutes,Bright orange circles going thru the sky in the same direction. Some were closer to each other.,10/30/2012,43.0480556,-76.1477778,2012-10-10 20:00:00,2012-10-10,20,16.0,44.6,Clear,Clear
60031,2012-10-10 20:00:00,colorado springs,CO,co,us,light,20.0,15 to 20 seconds,Bright zig zagging light in the sky above norad.,10/30/2012,38.8338889,-104.8208333,2012-10-10 20:00:00,2012-10-10,20,15.0,47.2,Clear,Clear
60032,2012-10-10 20:00:00,moundville,AL,al,us,changing,240.0,4 minutes,Orange fiery lighting objects changing locations.,10/30/2012,32.9975000,-87.63,2012-10-10 20:00:00,2012-10-10,20,1.0,60.1,Clear,Clear
60033,2012-10-10 20:15:00,new york city (bronx),NY,ny,us,disk,1800.0,30 minutes,A cloaked disk hovered three hundred feet above two apartment buildings in the Bronx&#44 for aproximately thirty minutes.,10/30/2012,40.7141667,-74.0063889,2012-10-10 20:00:00,2012-10-10,20,15.0,55.8,Clear,Clear
,2012-10-10 20:17:00,mount albert (canada),,on,,triangle,30.0,30 seconds,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,10/30/2012,44.136076,-79.308339,2012-10-10 20:00:00,2012-10-10,20,35.0,40.5,Partly cloudy,Cloudy
60034,2012-10-10 20:30:00,las cruces,NM,nm,us,fireball,120.0,1-2 minutes,4 fireballs in sky side by side,10/30/2012,32.3122222,-106.7777778,2012-10-10 20:00:00,2012-10-10,20,2.0,71.4,Clear,Clear
60035,2012-10-10 20:30:00,marion,IL,il,us,light,240.0,2 to 4 minutes,I was leaving my friend&#39s house to go home.  My friend and her 3 1/2 year old daughter walked me to her front door when she noticed all,10/30/2012,37.7305556,-88.9330556,2012-10-10 20:00:00,2012-10-10,20,0.0,50.0,Clear,Clear
60036,2012-10-10 20:30:00,san jose,CA,ca,us,other,6.0,5-6 seconds,POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS,10/30/2012,37.3394444,-121.8938889,2012-10-10 20:00:00,2012-10-10,20,20.0,56.1,Clear,Clear
