bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
2779,46482,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-01-01,10547,1981,2010,1.0,3.34,562.0
2779,46479,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-01-01,10547,1981,2010,1.0,3.34,562.0
2779,46808,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-03-01,10606,1981,2010,1.0,3.33,563.0
2779,46753,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-02-18,10595,1981,2010,1.0,3.33,563.0
10653,22092,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2003-06-09,10574,1974,2003,3.0,3.33,563.0
7185,16600,sussex,NJ,dr6fqq,dr6fqqy,dr6fqq0,41.2145,-74.5995,41.2097222,-74.6080556,1976-10-18,2001-05-06,8966,1976,2001,891.0,3.32,564.0
2779,47098,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-04-10,10646,1981,2010,1.0,3.31,565.0
2779,47074,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-04-08,10644,1981,2010,1.0,3.31,565.0
2779,47580,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-06-07,10704,1981,2010,1.0,3.3,566.0
6746,57015,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,1983-01-01,2012-05-26,10738,1983,2012,3.0,3.29,567.0
