datetime,city,state,country,shape,duration_secs,comments,date posted,latitude,longitude,datetime_formatted,full_date,year,month,season,solar_kp_index,solar_ap_index,state_code,shape_group
1966-03-21 21:00:00,hillsdale,mi,us,disk,3600,Hillsdale Michigan&#44 large metallic disc shaped object hovered for close to an hour.,3/11/2006,41.92,-84.6305556,1966-03-21 21:00,1966-03-21,1966,3,spring,1.667,6,MI,round
1974-03-21 23:00:00,wewahitchka,fl,us,disk,600,I could only see the underside of it from about 25-50 yards. It had a bright light underneath. It left fast&#44 really  fast.,8/28/2003,30.1125,-85.2005556,1974-03-21 23:00,1974-03-21,1974,3,spring,4.0,27,FL,round
1978-03-21 04:00:00,medford,or,us,disk,480,Inflight formation with two disk,3/19/2009,42.3266667,-122.8744444,1978-03-21 04:00,1978-03-21,1978,3,spring,2.0,7,OR,round
1995-03-21 04:30:00,beaver,ok,us,teardrop,0,Army or some one military pulling craft out from beneath sand..we were threatened  to remain silent.  I come forward now because of dis,12/16/1999,36.8161111,-100.5194444,1995-03-21 04:30,1995-03-21,1995,3,spring,1.0,4,OK,round
1996-03-21 21:00:00,three rivers,mi,us,light,900,Wihte light UFO 19,12/3/2004,41.9438889,-85.6325,1996-03-21 21:00,1996-03-21,1996,3,spring,2.667,12,MI,light
1996-03-22 00:00:00,three rivers,mi,us,triangle,600,Back in March 21&#4496 whil photographing the night sky whth my Sears VHS Camcordor&#44 I filmed what I thin might be a black triangle. I,10/27/2004,41.9438889,-85.6325,1996-03-22 00:00,1996-03-22,1996,3,spring,2.667,12,MI,triangle
1997-03-21 21:00:00,yucaipa,ca,us,fireball,120,A single orange glowing object moving East at a steady speed.  Began to drop flaming objects like the shards from a welders torch.  Aft,3/7/1998,34.0336111,-117.0422222,1997-03-21 21:00,1997-03-21,1997,3,spring,3.667,22,CA,light
1998-03-21 20:00:00,ten sleep (outside of),wy,us,disk,0,Going down the road I came up to a turn with a Sub station off to the left the UFO hovering above the sub station with a light fog arou,3/19/2002,44.0341667,-107.4505556,1998-03-21 20:00,1998-03-21,1998,3,spring,2.333,9,WY,round
1998-03-21 20:15:00,holland,mi,us,flash,600,A bright flash of light came on and off 2-3 minutes apart 3 times in the same spot in the northern sky then one more time a little to t,1/28/1999,42.7875,-86.1088889,1998-03-21 20:15,1998-03-21,1998,3,spring,2.333,9,MI,light
1998-03-21 22:30:00,san antonio,tx,us,formation,1800,First 7 then up to a dozen lights at very high altitude darting around.,5/15/2006,29.4238889,-98.4933333,1998-03-21 22:30,1998-03-21,1998,3,spring,2.333,9,TX,changing
1999-03-21 00:02:00,oconomowoc,wi,us,formation,10,I saw two pairs of lights moving east to west very high and moving much faster than any aircraft I have seen. They crossed paths and we,4/2/1999,43.1116667,-88.4991667,1999-03-21 00:02,1999-03-21,1999,3,spring,0.0,0,WI,changing
1999-03-21 00:55:00,rome,ny,us,unknown,5,two sets dim red lights&#44 not high in sky&#44 moving fast NW direction&#44 no other lights&#44 no sound,4/2/1999,43.2127778,-75.4561111,1999-03-21 00:55,1999-03-21,1999,3,spring,0.0,0,NY,other
1999-03-21 22:00:00,bristol,va,us,disk,300,My name is ((deleted)) and i was driving down the street.  A flash of light with a flying saucer suddenly appeared it swayed back and,4/26/1999,36.5963889,-82.1886111,1999-03-21 22:00,1999-03-21,1999,3,spring,0.0,0,VA,round
1999-03-21 22:48:00,knappa (near; approx 12 miles from astoria),or,us,unknown,8,I was outside and saw a helicopter with its search light on.  I went out for a closer look and saw &#39something&#39&#44 and it appeared to be a,4/2/1999,46.1852778,-123.5847222,1999-03-21 22:48,1999-03-21,1999,3,spring,0.0,0,OR,other
1999-03-21 23:00:00,jasper,ar,us,unknown,0,This is regarding a possible abduction when I was a caretaker on a 40 acre farm in the ozarks.  I was alone at the time and in the midd,7/4/2011,36.0080556,-93.1863889,1999-03-21 23:00,1999-03-21,1999,3,spring,0.0,0,AR,other
2000-03-21 14:45:00,dickson,tn,us,cylinder,30,Waiting at a stop light i saw a jet in the distance.I was looking at it&#39s trail when i saw a large tube shaped object floating in the s,4/1/2000,36.0769444,-87.3877778,2000-03-21 14:45,2000-03-21,2000,3,spring,2.333,9,TN,cigar
2000-03-21 19:30:00,mattawan,mi,us,triangle,9,one craft Flew over head toward east&#44 Seperated into 3 craft,4/1/2000,42.2094444,-85.7844444,2000-03-21 19:30,2000-03-21,2000,3,spring,2.333,9,MI,triangle
2000-03-21 21:00:00,duluth,mn,us,unknown,7,Pulsating star-like object described a semi-circle around the middle star of the handle of the Big Dipper and then vanished. No object,4/1/2000,46.7833333,-92.1063889,2000-03-21 21:00,2000-03-21,2000,3,spring,2.333,9,MN,other
2000-03-21 21:00:00,st. cloud,fl,us,circle,900,HAVE SEEN SEVERAL TIMES. AMBER LIGHT THAT WILL STAY AROUND FOR ABOUT 15 MINUTES AND THEN WILL DISAPPEAR.  THEN APPEARS AGAIN IN DIFFERE,4/1/2000,28.2486111,-81.2813889,2000-03-21 21:00,2000-03-21,2000,3,spring,2.333,9,FL,round
2000-03-21 22:05:00,east springfield,pa,us,light,15,a light in the sky going in a southeasterly direction under the clouds.the light showed around itself and on the bottom of the clouds t,4/1/2000,41.965,-80.4075,2000-03-21 22:05,2000-03-21,2000,3,spring,2.333,9,PA,light
2001-03-21 02:30:00,moretown,vt,us,formation,15,VT&#44Moretown-VERY BRIGHT greenish(?) VERY LARGE formation descending and VERY RAPIDLY almost vertically; no crash&#44no flames;disappeared.,4/1/2001,44.2508333,-72.7613889,2001-03-21 02:30,2001-03-21,2001,3,spring,0.667,3,VT,changing
2001-03-21 03:21:00,arlington,tx,us,unknown,25,Very fast moving &quot;object&quot;&#44 blinking blue&#44 red&#44 and green. In that pattern.,4/1/2001,32.7355556,-97.1077778,2001-03-21 03:21,2001-03-21,2001,3,spring,0.667,3,TX,other
2001-03-21 18:50:00,hamden,ct,us,oval,40,((NUFORC Note:  Female witness describes a second sighting of a bizarre object.  PD)),4/1/2001,41.3958333,-72.8972222,2001-03-21 18:50,2001-03-21,2001,3,spring,0.667,3,CT,round
2001-03-21 19:00:00,mulberry,in,us,flash,0,I heard a loud roar and went outside to look and suddenly two very big bright orange lights appeared.,4/1/2001,40.3444444,-86.6652778,2001-03-21 19:00,2001-03-21,2001,3,spring,0.667,3,IN,light
2001-03-21 19:50:00,rockaway beach,or,us,unknown,240,Weird lights over Oregon Coast,4/1/2001,45.6136111,-123.9416667,2001-03-21 19:50,2001-03-21,2001,3,spring,0.667,3,OR,other
2001-03-21 22:30:00,la pine,or,us,triangle,180,Dark triangle with strange strobing lights seen south of bend Oregon 21 mach 22:30 PST moving slowly at first then acelerating to the S,4/1/2001,43.6705556,-121.5025,2001-03-21 22:30,2001-03-21,2001,3,spring,0.667,3,OR,triangle
2001-03-21 23:10:00,eugene,or,us,fireball,2,Fireball of bright white light traveling from South to North.,4/1/2001,44.0522222,-123.0855556,2001-03-21 23:10,2001-03-21,2001,3,spring,0.667,3,OR,light
2001-03-22 00:00:00,port carbon,pa,us,light,0,Me and my friend saw 3 blinking in the mountains no where near civilization,4/1/2001,40.6963889,-76.1691667,2001-03-22 00:00,2001-03-22,2001,3,spring,5.0,48,PA,light
2002-03-21 17:35:00,belleville,mi,us,circle,10,small circular silverish object in sky doing small circles in sky not like any airplane could do as fast and small of circle,4/8/2002,42.2047222,-83.4852778,2002-03-21 17:35,2002-03-21,2002,3,spring,3.0,15,MI,round
2002-03-21 19:10:00,los angeles,ca,us,oval,300,I was able to capture video of the object over the ocean in the Santa Monica area.,7/1/2002,34.0522222,-118.2427778,2002-03-21 19:10,2002-03-21,2002,3,spring,3.0,15,CA,round
